reactor,ch4,co2,flow,day,gas,temp
R1,11.374,338.3,0.063,5,co2,20
R2,9.638,348.235,0.073,5,co2,20
R3,5.221,320.18,0.082,5,co2,20
R4,7.2,313.69,0.081,5,co2,20
R5,16,371.5,0.084,5,co2,30
R6,13,373.96,0.074,5,co2,30
R7,14.186,393.4,0.074,5,co2,30
R8,9.81,371,0.082,5,co2,30
R9,13.54,1077,0.065,5,ar,20
R10,13.6,1120.207,0.065,5,ar,20
R11,14.045,1130.56,0.054,5,ar,20
R12,26.7,1240,0.051,5,ar,20
R13,81.3,2022,0.064,5,ar,30
R14,98.2,2004,0.064,5,ar,30
R15,145.5,2394,0.052,5,ar,30
R16,60.8,2250,0.057,5,ar,30
bg,2.03,464.59,0.009,5,ar,30
R1,5.14,193,0.07475,12,co2,20
R2,28,225,0.06325,12,co2,20
R3,38.5,200,0.069,12,co2,20
R4,5,170,0.0713,12,co2,20
R5,267,930,0.0736,12,co2,30
R6,693,1995,0.0736,12,co2,30
R7,615,1922,0.0759,12,co2,30
R8,41,600,0.0736,12,co2,30
R9,33,1300,0.0713,12,ar,20
R10,17,1217,0.06555,12,ar,20
R11,29.3,1287,0.05865,12,ar,20
R12,31.9,1227,0.05405,12,ar,20
R13,140,2563,0.0552,12,ar,30
R14,106,2454,0.06785,12,ar,30
R15,83,2420,0.05865,12,ar,30
R16,264,3578.4,0.0483,12,ar,30
bg,2.04,448,0,12,ar,30
R1,45.5,230,0.07935,18,co2,20
R2,7.36,195,0.07705,18,co2,20
R3,55.25,252,0.0736,18,co2,20
R4,5.2,170,0.07015,18,co2,20
R5,124.8,440,0.062,18,co2,30
R6,62.4,385,0.0667,18,co2,30
R7,240,790,0.0736,18,co2,30
R8,126.9,600,0.07015,18,co2,30
R9,24.2,1080,0.069,18,ar,20
R10,35.8,1090,0.0598,18,ar,20
R11,25.8,1070,0.0575,18,ar,20
R12,37.6,995,0.0552,18,ar,20
R13,100.2,2000,0.0575,18,ar,30
R14,77.8,2085,0.05865,18,ar,30
R15,114,2601,0.0552,18,ar,30
R16,109.1,1890,0.05635,18,ar,30
bg,1.95,430,0,18,ar,30
R1,26.2,190,0.06555,25,co2,20
R2,25.4,220,0.06325,25,co2,20
R3,30.3,220,0.06325,25,co2,20
R4,26.6,200,0.06325,25,co2,20
R5,179.3,475,0.06325,25,co2,30
R6,72.9,397,0.06325,25,co2,30
R7,79.9,397,0.06555,25,co2,30
R8,70.6,403,0.06555,25,co2,30
R9,32.3,1160,0.05635,25,ar,20
R10,33.5,1109,0.0529,25,ar,20
R11,32.3,1020,0.05175,25,ar,20
R12,34.9,1086,0.0506,25,ar,20
R13,110.3,2100,0.0529,25,ar,30
R14,117.2,2200,0.05175,25,ar,30
R15,116.8,3100,0.0529,25,ar,30
R16,114.2,2520,0.0483,25,ar,30
R1,22.17,210,0.06095,32,co2,20
R2,22.7,222,0.06325,32,co2,20
R3,23.04,208,0.06325,32,co2,20
R4,25.64,210,0.0575,32,co2,20
R5,81.29,415,0.0644,32,co2,30
R6,70.05,365,0.06325,32,co2,30
R7,68.64,330,0.0667,32,co2,30
R8,70.39,356,0.06325,32,co2,30
R9,28.68,1030,0.0598,32,ar,20
R10,32.5,1087,0.05635,32,ar,20
R11,27.25,980,0.05635,32,ar,20
R12,31.4,1028,0.05405,32,ar,20
R13,126.6,2530,0.05635,32,ar,30
R14,123.3,2575,0.0575,32,ar,30
