reactor,ch4,co2,day,gas,temp,flow
R1,11.374,338.3,5,co2,20,0.082
R1,45.5,230,18,co2,20,0.084
R1,22.17,210,32,co2,20,0.074
R5,16,371.5,5,co2,30,0.07475
R5,124.8,440,18,co2,30,0.069
R5,81.29,415,32,co2,30,0.0736
