aircleaner,timestamp,elapsed_time,form,mtzr,compound_name,flow_dir,concentration
PureAir2000,3/10/2022 13:45,0,CH4O,32.0335,Methanol,In,971.6829
PureAir2000,3/10/2022 13:45,0,C7H8,92.0699,Toluene,In,528.65795
PureAir2000,3/10/2022 13:45,0,C5H8,68.0699,Isoprene,In,443.8418
PureAir2000,3/10/2022 13:45,0,C7H6O,106.0491,Benzaldehyde,In,673.0932
PureAir2000,3/10/2022 13:45,0,C3H6O,58.0491,Acetone,In,1063.301
PureAir2000,3/10/2022 13:45,0,C2H4O,44.0335,Acetaldehyde,In,630.34085
PureAir2000,3/10/2022 13:45,0,C2H4O2,60.0284,Acetic acid,In,273.7391
PureAir2000,3/10/2022 13:45,0,C4H8O,72.0648,Butanone,In,962.7825
PureAir2000,3/10/2022 13:45,0,C10H16,136.1325,Limonene,In,639.5513
PureAir2000,3/10/2022 13:46,0.0166666666666667,C7H8,92.0699,Toluene,In,544.70585
PureAir2000,3/10/2022 13:46,0.0166666666666667,CH4O,32.0335,Methanol,In,956.67405
PureAir2000,3/10/2022 13:46,0.0166666666666667,C4H8O,72.0648,Butanone,In,975.80145
PureAir2000,3/10/2022 13:46,0.0166666666666667,C10H16,136.1325,Limonene,In,696.0174
PureAir2000,3/10/2022 13:46,0.0166666666666667,C3H6O,58.0491,Acetone,In,1057.1365
PureAir2000,3/10/2022 13:46,0.0166666666666667,C7H6O,106.0491,Benzaldehyde,In,751.9169
PureAir2000,3/10/2022 13:46,0.0166666666666667,C2H4O2,60.0284,Acetic acid,In,304.73115
PureAir2000,3/10/2022 13:46,0.0166666666666667,C5H8,68.0699,Isoprene,In,437.5962
PureAir2000,3/10/2022 13:46,0.0166666666666667,C2H4O,44.0335,Acetaldehyde,In,623.1084
PureAir2000,3/10/2022 13:47,0.0333333333333333,C5H8,68.0699,Isoprene,In,473.51835
PureAir2000,3/10/2022 13:47,0.0333333333333333,CH4O,32.0335,Methanol,In,1029.223
PureAir2000,3/10/2022 13:47,0.0333333333333333,C7H6O,106.0491,Benzaldehyde,In,790.9398
PureAir2000,3/10/2022 13:47,0.0333333333333333,C10H16,136.1325,Limonene,In,744.5909
PureAir2000,3/10/2022 13:47,0.0333333333333333,C2H4O2,60.0284,Acetic acid,In,324.53295
PureAir2000,3/10/2022 13:47,0.0333333333333333,C4H8O,72.0648,Butanone,In,1043.331
PureAir2000,3/10/2022 13:47,0.0333333333333333,C3H6O,58.0491,Acetone,In,1142.6015
PureAir2000,3/10/2022 13:47,0.0333333333333333,C2H4O,44.0335,Acetaldehyde,In,669.6532
PureAir2000,3/10/2022 13:47,0.0333333333333333,C7H8,92.0699,Toluene,In,582.16295
PureAir2000,3/10/2022 13:48,0.05,CH4O,32.0335,Methanol,In,1032.439
PureAir2000,3/10/2022 13:48,0.05,C2H4O,44.0335,Acetaldehyde,In,670.6597
PureAir2000,3/10/2022 13:48,0.05,C3H6O,58.0491,Acetone,In,1140.5905
PureAir2000,3/10/2022 13:48,0.05,C5H8,68.0699,Isoprene,In,472.0258
PureAir2000,3/10/2022 13:48,0.05,C7H6O,106.0491,Benzaldehyde,In,808.941
PureAir2000,3/10/2022 13:48,0.05,C2H4O2,60.0284,Acetic acid,In,332.2848
PureAir2000,3/10/2022 13:48,0.05,C4H8O,72.0648,Butanone,In,1044.3985
PureAir2000,3/10/2022 13:48,0.05,C7H8,92.0699,Toluene,In,583.5994
PureAir2000,3/10/2022 13:48,0.05,C10H16,136.1325,Limonene,In,748.16015
PureAir2000,3/10/2022 13:49,0.0666666666666667,C2H4O,44.0335,Acetaldehyde,In,660.7808
PureAir2000,3/10/2022 13:49,0.0666666666666667,CH4O,32.0335,Methanol,In,1012.112
PureAir2000,3/10/2022 13:49,0.0666666666666667,C4H8O,72.0648,Butanone,In,1026.798
PureAir2000,3/10/2022 13:49,0.0666666666666667,C7H8,92.0699,Toluene,In,570.87665
PureAir2000,3/10/2022 13:49,0.0666666666666667,C7H6O,106.0491,Benzaldehyde,In,792.57755
PureAir2000,3/10/2022 13:49,0.0666666666666667,C3H6O,58.0491,Acetone,In,1119.103
PureAir2000,3/10/2022 13:49,0.0666666666666667,C2H4O2,60.0284,Acetic acid,In,328.66685
PureAir2000,3/10/2022 13:49,0.0666666666666667,C5H8,68.0699,Isoprene,In,463.5388
PureAir2000,3/10/2022 13:49,0.0666666666666667,C10H16,136.1325,Limonene,In,735.19835
PureAir2000,3/10/2022 13:50,0.0833333333333333,C10H16,136.1325,Limonene,Out,409.7509
PureAir2000,3/10/2022 13:50,0.0833333333333333,C2H4O2,60.0284,Acetic acid,Out,220.02485
PureAir2000,3/10/2022 13:50,0.0833333333333333,C4H8O,72.0648,Butanone,Out,628.1562
PureAir2000,3/10/2022 13:50,0.0833333333333333,CH4O,32.0335,Methanol,Out,967.56145
PureAir2000,3/10/2022 13:50,0.0833333333333333,C7H8,92.0699,Toluene,Out,324.8629
PureAir2000,3/10/2022 13:50,0.0833333333333333,C5H8,68.0699,Isoprene,Out,340.0572
PureAir2000,3/10/2022 13:50,0.0833333333333333,C7H6O,106.0491,Benzaldehyde,Out,411.92385
PureAir2000,3/10/2022 13:50,0.0833333333333333,C3H6O,58.0491,Acetone,Out,800.9421
PureAir2000,3/10/2022 13:50,0.0833333333333333,C2H4O,44.0335,Acetaldehyde,Out,625.46755
PureAir2000,3/10/2022 13:51,0.1,C5H8,68.0699,Isoprene,Out,346.82725
PureAir2000,3/10/2022 13:51,0.1,C3H6O,58.0491,Acetone,Out,819.47965
PureAir2000,3/10/2022 13:51,0.1,C2H4O,44.0335,Acetaldehyde,Out,636.88065
PureAir2000,3/10/2022 13:51,0.1,C4H8O,72.0648,Butanone,Out,630.1345
PureAir2000,3/10/2022 13:51,0.1,CH4O,32.0335,Methanol,Out,988.5324
PureAir2000,3/10/2022 13:51,0.1,C2H4O2,60.0284,Acetic acid,Out,195.1989
PureAir2000,3/10/2022 13:51,0.1,C7H8,92.0699,Toluene,Out,323.6961
PureAir2000,3/10/2022 13:51,0.1,C7H6O,106.0491,Benzaldehyde,Out,421.1575
PureAir2000,3/10/2022 13:51,0.1,C10H16,136.1325,Limonene,Out,419.2872
PureAir2000,3/10/2022 13:52,0.116666666666667,C7H8,92.0699,Toluene,Out,323.8343
PureAir2000,3/10/2022 13:52,0.116666666666667,C2H4O2,60.0284,Acetic acid,Out,186.03095
PureAir2000,3/10/2022 13:52,0.116666666666667,C10H16,136.1325,Limonene,Out,416.4242
PureAir2000,3/10/2022 13:52,0.116666666666667,C4H8O,72.0648,Butanone,Out,635.29185
PureAir2000,3/10/2022 13:52,0.116666666666667,C7H6O,106.0491,Benzaldehyde,Out,420.79355
PureAir2000,3/10/2022 13:52,0.116666666666667,C2H4O,44.0335,Acetaldehyde,Out,640.41415
PureAir2000,3/10/2022 13:52,0.116666666666667,CH4O,32.0335,Methanol,Out,995.45255
PureAir2000,3/10/2022 13:52,0.116666666666667,C3H6O,58.0491,Acetone,Out,834.4675
PureAir2000,3/10/2022 13:52,0.116666666666667,C5H8,68.0699,Isoprene,Out,353.28875
PureAir2000,3/10/2022 13:53,0.133333333333333,C10H16,136.1325,Limonene,Out,411.3794
PureAir2000,3/10/2022 13:53,0.133333333333333,CH4O,32.0335,Methanol,Out,986.8063
PureAir2000,3/10/2022 13:53,0.133333333333333,C2H4O2,60.0284,Acetic acid,Out,177.3469
PureAir2000,3/10/2022 13:53,0.133333333333333,C7H6O,106.0491,Benzaldehyde,Out,413.0714
PureAir2000,3/10/2022 13:53,0.133333333333333,C5H8,68.0699,Isoprene,Out,354.84495
PureAir2000,3/10/2022 13:53,0.133333333333333,C3H6O,58.0491,Acetone,Out,837.71935
PureAir2000,3/10/2022 13:53,0.133333333333333,C4H8O,72.0648,Butanone,Out,631.66835
PureAir2000,3/10/2022 13:53,0.133333333333333,C2H4O,44.0335,Acetaldehyde,Out,636.6101
PureAir2000,3/10/2022 13:53,0.133333333333333,C7H8,92.0699,Toluene,Out,317.90445
PureAir2000,3/10/2022 13:54,0.15,C2H4O,44.0335,Acetaldehyde,Out,639.1727
PureAir2000,3/10/2022 13:54,0.15,C4H8O,72.0648,Butanone,Out,636.25315
PureAir2000,3/10/2022 13:54,0.15,C10H16,136.1325,Limonene,Out,410.4687
PureAir2000,3/10/2022 13:54,0.15,C3H6O,58.0491,Acetone,Out,845.9369
PureAir2000,3/10/2022 13:54,0.15,C7H8,92.0699,Toluene,Out,316.9256
PureAir2000,3/10/2022 13:54,0.15,C7H6O,106.0491,Benzaldehyde,Out,411.23225
PureAir2000,3/10/2022 13:54,0.15,C5H8,68.0699,Isoprene,Out,360.7581
PureAir2000,3/10/2022 13:54,0.15,C2H4O2,60.0284,Acetic acid,Out,174.34035
PureAir2000,3/10/2022 13:54,0.15,CH4O,32.0335,Methanol,Out,994.88695
PureAir2000,3/10/2022 13:55,0.166666666666667,C3H6O,58.0491,Acetone,In,1079.2505
PureAir2000,3/10/2022 13:55,0.166666666666667,C7H8,92.0699,Toluene,In,541.9769
PureAir2000,3/10/2022 13:55,0.166666666666667,C2H4O2,60.0284,Acetic acid,In,248.4722
PureAir2000,3/10/2022 13:55,0.166666666666667,C10H16,136.1325,Limonene,In,671.72515
PureAir2000,3/10/2022 13:55,0.166666666666667,C7H6O,106.0491,Benzaldehyde,In,668.08115
PureAir2000,3/10/2022 13:55,0.166666666666667,C4H8O,72.0648,Butanone,In,974.6022
PureAir2000,3/10/2022 13:55,0.166666666666667,C2H4O,44.0335,Acetaldehyde,In,647.47775
PureAir2000,3/10/2022 13:55,0.166666666666667,C5H8,68.0699,Isoprene,In,449.9177
PureAir2000,3/10/2022 13:55,0.166666666666667,CH4O,32.0335,Methanol,In,999.3862
PureAir2000,3/10/2022 13:56,0.183333333333333,C7H8,92.0699,Toluene,In,545.1356
PureAir2000,3/10/2022 13:56,0.183333333333333,C10H16,136.1325,Limonene,In,684.8659
PureAir2000,3/10/2022 13:56,0.183333333333333,C4H8O,72.0648,Butanone,In,986.9011
PureAir2000,3/10/2022 13:56,0.183333333333333,CH4O,32.0335,Methanol,In,1000.9205
PureAir2000,3/10/2022 13:56,0.183333333333333,C7H6O,106.0491,Benzaldehyde,In,717.07925
PureAir2000,3/10/2022 13:56,0.183333333333333,C3H6O,58.0491,Acetone,In,1084.862
PureAir2000,3/10/2022 13:56,0.183333333333333,C2H4O2,60.0284,Acetic acid,In,281.92445
PureAir2000,3/10/2022 13:56,0.183333333333333,C5H8,68.0699,Isoprene,In,449.06335
PureAir2000,3/10/2022 13:56,0.183333333333333,C2H4O,44.0335,Acetaldehyde,In,650.7836
PureAir2000,3/10/2022 13:57,0.2,C3H6O,58.0491,Acetone,In,1071.7185
PureAir2000,3/10/2022 13:57,0.2,C7H6O,106.0491,Benzaldehyde,In,717.30925
PureAir2000,3/10/2022 13:57,0.2,C4H8O,72.0648,Butanone,In,973.78095
PureAir2000,3/10/2022 13:57,0.2,CH4O,32.0335,Methanol,In,988.9114
PureAir2000,3/10/2022 13:57,0.2,C2H4O,44.0335,Acetaldehyde,In,644.8253
PureAir2000,3/10/2022 13:57,0.2,C5H8,68.0699,Isoprene,In,443.4831
PureAir2000,3/10/2022 13:57,0.2,C7H8,92.0699,Toluene,In,537.45925
PureAir2000,3/10/2022 13:57,0.2,C10H16,136.1325,Limonene,In,683.95635
PureAir2000,3/10/2022 13:57,0.2,C2H4O2,60.0284,Acetic acid,In,289.6747
PureAir2000,3/10/2022 13:58,0.216666666666667,C4H8O,72.0648,Butanone,In,966.31915
PureAir2000,3/10/2022 13:58,0.216666666666667,C2H4O2,60.0284,Acetic acid,In,291.73975
PureAir2000,3/10/2022 13:58,0.216666666666667,CH4O,32.0335,Methanol,In,988.05235
PureAir2000,3/10/2022 13:58,0.216666666666667,C2H4O,44.0335,Acetaldehyde,In,643.11585
PureAir2000,3/10/2022 13:58,0.216666666666667,C10H16,136.1325,Limonene,In,679.86515
PureAir2000,3/10/2022 13:58,0.216666666666667,C3H6O,58.0491,Acetone,In,1066.0635
PureAir2000,3/10/2022 13:58,0.216666666666667,C7H6O,106.0491,Benzaldehyde,In,715.957
PureAir2000,3/10/2022 13:58,0.216666666666667,C5H8,68.0699,Isoprene,In,442.11205
PureAir2000,3/10/2022 13:58,0.216666666666667,C7H8,92.0699,Toluene,In,533.53155
PureAir2000,3/10/2022 13:59,0.233333333333333,C7H6O,106.0491,Benzaldehyde,In,716.6009
PureAir2000,3/10/2022 13:59,0.233333333333333,C4H8O,72.0648,Butanone,In,967.421
PureAir2000,3/10/2022 13:59,0.233333333333333,C2H4O,44.0335,Acetaldehyde,In,645.02915
PureAir2000,3/10/2022 13:59,0.233333333333333,C10H16,136.1325,Limonene,In,674.20515
PureAir2000,3/10/2022 13:59,0.233333333333333,C2H4O2,60.0284,Acetic acid,In,293.05515
PureAir2000,3/10/2022 13:59,0.233333333333333,C7H8,92.0699,Toluene,In,534.88175
PureAir2000,3/10/2022 13:59,0.233333333333333,C3H6O,58.0491,Acetone,In,1068.405
PureAir2000,3/10/2022 13:59,0.233333333333333,CH4O,32.0335,Methanol,In,988.72925
PureAir2000,3/10/2022 13:59,0.233333333333333,C5H8,68.0699,Isoprene,In,440.71275
PureAir2000,3/10/2022 14:00,0.25,C5H8,68.0699,Isoprene,Out,369.95285
PureAir2000,3/10/2022 14:00,0.25,CH4O,32.0335,Methanol,Out,978.43175
PureAir2000,3/10/2022 14:00,0.25,C2H4O2,60.0284,Acetic acid,Out,205.44275
PureAir2000,3/10/2022 14:00,0.25,C2H4O,44.0335,Acetaldehyde,Out,632.26665
PureAir2000,3/10/2022 14:00,0.25,C3H6O,58.0491,Acetone,Out,873.27735
PureAir2000,3/10/2022 14:00,0.25,C10H16,136.1325,Limonene,Out,375.6092
PureAir2000,3/10/2022 14:00,0.25,C7H8,92.0699,Toluene,Out,304.1878
PureAir2000,3/10/2022 14:00,0.25,C7H6O,106.0491,Benzaldehyde,Out,381.86115
PureAir2000,3/10/2022 14:00,0.25,C4H8O,72.0648,Butanone,Out,637.97815
PureAir2000,3/10/2022 14:01,0.266666666666667,C7H6O,106.0491,Benzaldehyde,Out,379.9524
PureAir2000,3/10/2022 14:01,0.266666666666667,C10H16,136.1325,Limonene,Out,382.0302
PureAir2000,3/10/2022 14:01,0.266666666666667,C5H8,68.0699,Isoprene,Out,370.9716
PureAir2000,3/10/2022 14:01,0.266666666666667,C2H4O,44.0335,Acetaldehyde,Out,632.3446
PureAir2000,3/10/2022 14:01,0.266666666666667,C7H8,92.0699,Toluene,Out,305.2779
PureAir2000,3/10/2022 14:01,0.266666666666667,C3H6O,58.0491,Acetone,Out,877.26685
PureAir2000,3/10/2022 14:01,0.266666666666667,CH4O,32.0335,Methanol,Out,978.6907
PureAir2000,3/10/2022 14:01,0.266666666666667,C2H4O2,60.0284,Acetic acid,Out,178.0511
PureAir2000,3/10/2022 14:01,0.266666666666667,C4H8O,72.0648,Butanone,Out,640.043
PureAir2000,3/10/2022 14:02,0.283333333333333,C2H4O,44.0335,Acetaldehyde,Out,633.21135
PureAir2000,3/10/2022 14:02,0.283333333333333,CH4O,32.0335,Methanol,Out,980.4966
PureAir2000,3/10/2022 14:02,0.283333333333333,C7H6O,106.0491,Benzaldehyde,Out,379.06945
PureAir2000,3/10/2022 14:02,0.283333333333333,C4H8O,72.0648,Butanone,Out,642.1857
PureAir2000,3/10/2022 14:02,0.283333333333333,C5H8,68.0699,Isoprene,Out,373.1107
PureAir2000,3/10/2022 14:02,0.283333333333333,C10H16,136.1325,Limonene,Out,382.0344
PureAir2000,3/10/2022 14:02,0.283333333333333,C3H6O,58.0491,Acetone,Out,884.59965
PureAir2000,3/10/2022 14:02,0.283333333333333,C2H4O2,60.0284,Acetic acid,Out,170.1511
PureAir2000,3/10/2022 14:02,0.283333333333333,C7H8,92.0699,Toluene,Out,305.8676
PureAir2000,3/10/2022 14:03,0.3,C7H8,92.0699,Toluene,Out,304.25015
PureAir2000,3/10/2022 14:03,0.3,C2H4O2,60.0284,Acetic acid,Out,165.60415
PureAir2000,3/10/2022 14:03,0.3,C2H4O,44.0335,Acetaldehyde,Out,632.8934
PureAir2000,3/10/2022 14:03,0.3,CH4O,32.0335,Methanol,Out,981.02755
PureAir2000,3/10/2022 14:03,0.3,C3H6O,58.0491,Acetone,Out,888.92125
PureAir2000,3/10/2022 14:03,0.3,C7H6O,106.0491,Benzaldehyde,Out,376.5091
PureAir2000,3/10/2022 14:03,0.3,C4H8O,72.0648,Butanone,Out,644.01285
PureAir2000,3/10/2022 14:03,0.3,C5H8,68.0699,Isoprene,Out,372.7194
PureAir2000,3/10/2022 14:03,0.3,C10H16,136.1325,Limonene,Out,378.6523
PureAir2000,3/10/2022 14:04,0.316666666666667,C7H6O,106.0491,Benzaldehyde,Out,373.68305
PureAir2000,3/10/2022 14:04,0.316666666666667,C10H16,136.1325,Limonene,Out,374.56815
PureAir2000,3/10/2022 14:04,0.316666666666667,C7H8,92.0699,Toluene,Out,301.52815
PureAir2000,3/10/2022 14:04,0.316666666666667,C3H6O,58.0491,Acetone,Out,891.4463
PureAir2000,3/10/2022 14:04,0.316666666666667,C5H8,68.0699,Isoprene,Out,373.4172
PureAir2000,3/10/2022 14:04,0.316666666666667,C4H8O,72.0648,Butanone,Out,642.63365
PureAir2000,3/10/2022 14:04,0.316666666666667,CH4O,32.0335,Methanol,Out,976.6942
